record_id,date,region_id,country_of_origin,sex,age_group,education_level,employment_status,activity_type
1901,2022-01-01,1,Nigeria,Female,25-34,Bachelor,Employed,Employment support
1916,2022-01-01,1,Ukraine,Female,55+,Upper secondary,Inactive,Employment support
1951,2022-01-01,7,Senegal,Female,35-44,Doctorate,Inactive,Language training
1968,2022-01-01,4,Colombia,Male,45-54,Master,Employed,Integration program
1993,2022-01-01,7,Georgia,Male,18-24,Upper secondary,Inactive,Language training
2001,2022-01-01,8,Morocco,Female,35-44,Master,Employed,Employment support
2002,2022-01-01,1,Senegal,Female,45-54,Upper secondary,Inactive,Asylum application
2018,2022-01-01,5,Senegal,Female,35-44,Lower secondary,Employed,Employment support
2037,2022-01-01,10,Turkey,Female,25-34,Doctorate,Unemployed,Language training
2058,2022-01-01,3,India,Female,25-34,Bachelor,Employed,Asylum application
2110,2022-01-01,1,Senegal,Female,35-44,Upper secondary,Unemployed,Integration program
2123,2022-01-01,1,Côte d'Ivoire,Male,35-44,Upper secondary,Employed,Asylum application
2152,2022-01-01,9,Portugal,Male,35-44,Lower secondary,Unemployed,Housing support
2169,2022-01-01,1,Guinea,Male,25-34,Upper secondary,Unemployed,Integration program
2203,2022-01-01,1,Portugal,Female,25-34,Master,Unemployed,Language training
2248,2022-01-01,8,Guinea,Female,18-24,Bachelor,Employed,Integration program
2414,2022-01-01,3,Brazil,Male,25-34,Bachelor,Unemployed,Language training
2447,2022-01-01,2,Guinea,Female,25-34,Lower secondary,Unemployed,Integration program
2499,2022-01-01,3,Georgia,Male,35-44,Master,Employed,Asylum application
2512,2022-01-01,6,Colombia,Male,35-44,Upper secondary,Unemployed,Housing support
2533,2022-01-01,3,Other,Female,25-34,Bachelor,Employed,Asylum application
2552,2022-01-01,8,China,Female,35-44,Bachelor,Employed,Integration program
2567,2022-01-01,1,Senegal,Male,45-54,Lower secondary,Unemployed,Housing support
2652,2022-01-01,4,Turkey,Male,55+,Upper secondary,Employed,Integration program
2656,2022-01-01,1,Brazil,Female,25-34,Master,Employed,Housing support
2711,2022-01-01,6,Other,Female,35-44,Doctorate,Employed,Asylum application
2712,2022-01-01,2,Spain,Male,25-34,Upper secondary,Inactive,Integration program
2791,2022-01-01,7,Georgia,Female,45-54,Master,Unemployed,Asylum application
2827,2022-01-01,5,Ukraine,Male,45-54,Bachelor,Unemployed,Asylum application
2921,2022-01-01,1,Senegal,Male,25-34,Doctorate,Employed,Language training
2957,2022-01-01,3,Algeria,Male,35-44,Upper secondary,Employed,Asylum application
3034,2022-01-01,4,Other,Male,45-54,Upper secondary,Employed,Integration program
3114,2022-01-01,1,Senegal,Female,35-44,Bachelor,Unemployed,Language training
3126,2022-01-01,2,Côte d'Ivoire,Female,55+,Upper secondary,Unemployed,Employment support
3137,2022-01-01,1,Georgia,Female,35-44,Master,Employed,Language training
3225,2022-01-01,5,Algeria,Male,18-24,Lower secondary,Unemployed,Language training
3250,2022-01-01,1,Bangladesh,Male,45-54,Bachelor,Employed,Asylum application
3300,2022-01-01,6,Ukraine,Female,18-24,Lower secondary,Unemployed,Asylum application
3301,2022-01-01,5,Syria,Male,45-54,Doctorate,Employed,Housing support
3396,2022-01-01,4,Georgia,Female,35-44,Master,Inactive,Housing support
3424,2022-01-01,6,Afghanistan,Male,25-34,Upper secondary,Employed,Asylum application
3497,2022-01-01,1,Syria,Female,18-24,Bachelor,Unemployed,Asylum application
3540,2022-01-01,6,Portugal,Female,18-24,Upper secondary,Inactive,Integration program
3550,2022-01-01,8,China,Male,25-34,Master,Employed,Housing support
3585,2022-01-01,4,Spain,Female,45-54,Master,Unemployed,Employment support
3749,2022-01-01,4,Italy,Male,45-54,Upper secondary,Employed,Integration program
3831,2022-01-01,2,Georgia,Male,45-54,Bachelor,Unemployed,Housing support
3843,2022-01-01,4,Other,Female,25-34,Bachelor,Employed,Housing support
3936,2022-01-01,4,Côte d'Ivoire,Female,25-34,Upper secondary,Employed,Asylum application
4031,2022-01-01,7,Colombia,Female,35-44,Bachelor,Unemployed,Employment support
4039,2022-01-01,1,Senegal,Female,35-44,Upper secondary,Employed,Integration program
4048,2022-01-01,2,Guinea,Male,25-34,Upper secondary,Employed,Employment support
4081,2022-01-01,2,Ukraine,Female,35-44,Upper secondary,Employed,Integration program
4126,2022-01-01,1,Morocco,Female,25-34,Upper secondary,Inactive,Employment support
4128,2022-01-01,4,Afghanistan,Male,55+,Bachelor,Employed,Employment support
4187,2022-01-01,1,Nigeria,Female,35-44,Lower secondary,Inactive,Asylum application
4188,2022-01-01,5,Afghanistan,Female,25-34,Lower secondary,Unemployed,Integration program
4189,2022-01-01,9,China,Male,25-34,Lower secondary,Unemployed,Language training
4220,2022-01-01,1,Turkey,Female,35-44,Bachelor,Employed,Language training
4274,2022-01-01,3,Spain,Male,25-34,Master,Employed,Language training
4284,2022-01-01,1,Brazil,Male,55+,Lower secondary,Unemployed,Housing support
4327,2022-01-01,2,Syria,Male,25-34,Lower secondary,Unemployed,Housing support
4387,2022-01-01,5,Syria,Female,35-44,Upper secondary,Employed,Integration program
4407,2022-01-01,7,India,Male,45-54,Master,Employed,Integration program
4510,2022-01-01,3,Turkey,Female,45-54,Upper secondary,Employed,Employment support
4546,2022-01-01,6,Morocco,Male,45-54,Upper secondary,Employed,Employment support
4561,2022-01-01,2,Syria,Male,25-34,Doctorate,Employed,Integration program
4722,2022-01-01,7,Côte d'Ivoire,Male,25-34,Bachelor,Employed,Language training
4794,2022-01-01,1,Colombia,Male,55+,Doctorate,Employed,Housing support
4811,2022-01-01,1,Guinea,Female,25-34,Bachelor,Unemployed,Asylum application
4822,2022-01-01,3,Algeria,Male,18-24,Upper secondary,Unemployed,Employment support
4887,2022-01-01,2,Nigeria,Female,35-44,Lower secondary,Inactive,Asylum application
4955,2022-01-01,2,Spain,Female,55+,Upper secondary,Unemployed,Asylum application
4987,2022-01-01,4,Other,Male,18-24,Bachelor,Employed,Integration program
5007,2022-01-01,9,Tunisia,Male,45-54,Master,Unemployed,Integration program
5024,2022-01-01,3,India,Male,45-54,Bachelor,Unemployed,Integration program
5056,2022-01-01,1,Portugal,Female,45-54,Upper secondary,Employed,Housing support
5121,2022-01-01,8,Afghanistan,Female,55+,Bachelor,Employed,Housing support
5206,2022-01-01,1,Afghanistan,Female,25-34,Lower secondary,Unemployed,Language training
5239,2022-01-01,2,India,Male,45-54,Upper secondary,Employed,Integration program
5245,2022-01-01,3,Colombia,Male,45-54,Bachelor,Unemployed,Employment support
5285,2022-01-01,1,Turkey,Male,45-54,Upper secondary,Inactive,Employment support
5325,2022-01-01,7,China,Female,25-34,Lower secondary,Employed,Language training
5344,2022-01-01,5,Côte d'Ivoire,Male,25-34,Bachelor,Employed,Asylum application
5348,2022-01-01,1,Syria,Male,18-24,Master,Employed,Asylum application
5425,2022-01-01,3,Turkey,Female,18-24,Doctorate,Unemployed,Housing support
5440,2022-01-01,1,Senegal,Male,45-54,Upper secondary,Inactive,Asylum application
5445,2022-01-01,2,Italy,Male,25-34,Doctorate,Inactive,Employment support
5535,2022-01-01,6,Morocco,Male,18-24,Master,Employed,Integration program
5736,2022-01-01,6,Morocco,Male,55+,Doctorate,Unemployed,Asylum application
5800,2022-01-01,10,Syria,Male,25-34,Upper secondary,Unemployed,Housing support
5822,2022-01-01,5,Ukraine,Male,25-34,Master,Employed,Asylum application
5844,2022-01-01,7,Nigeria,Female,35-44,Bachelor,Employed,Employment support
5973,2022-01-01,10,Nigeria,Male,55+,Bachelor,Employed,Integration program
111,2022-02-01,1,Morocco,Male,18-24,Bachelor,Employed,Employment support
147,2022-02-01,1,Other,Male,45-54,Upper secondary,Employed,Integration program
352,2022-02-01,4,Spain,Female,55+,Upper secondary,Unemployed,Integration program
353,2022-02-01,5,Côte d'Ivoire,Male,45-54,Bachelor,Employed,Language training
354,2022-02-01,5,Morocco,Female,25-34,Bachelor,Employed,Integration program
359,2022-02-01,1,Tunisia,Female,35-44,Bachelor,Unemployed,Language training
394,2022-02-01,1,China,Male,25-34,Bachelor,Employed,Asylum application
420,2022-02-01,9,China,Female,35-44,Master,Employed,Language training
465,2022-02-01,1,Côte d'Ivoire,Male,35-44,Bachelor,Unemployed,Employment support
480,2022-02-01,1,Italy,Male,25-34,Upper secondary,Employed,Asylum application
578,2022-02-01,6,Georgia,Female,45-54,Bachelor,Unemployed,Housing support
634,2022-02-01,5,India,Female,35-44,Upper secondary,Employed,Asylum application
665,2022-02-01,1,Italy,Female,25-34,Upper secondary,Employed,Asylum application
683,2022-02-01,3,Portugal,Male,35-44,Lower secondary,Employed,Integration program
738,2022-02-01,1,Bangladesh,Male,35-44,Upper secondary,Unemployed,Language training
750,2022-02-01,4,Other,Female,35-44,Master,Employed,Language training
785,2022-02-01,7,Bangladesh,Female,35-44,Doctorate,Employed,Housing support
844,2022-02-01,5,China,Female,25-34,Upper secondary,Employed,Language training
863,2022-02-01,2,India,Female,18-24,Master,Employed,Asylum application
877,2022-02-01,6,Algeria,Male,18-24,Upper secondary,Unemployed,Employment support
891,2022-02-01,1,Afghanistan,Male,35-44,Upper secondary,Unemployed,Language training
955,2022-02-01,1,Turkey,Female,35-44,Doctorate,Unemployed,Employment support
993,2022-02-01,5,Georgia,Male,55+,Master,Employed,Housing support
1011,2022-02-01,3,Georgia,Male,18-24,Bachelor,Employed,Employment support
1035,2022-02-01,3,Brazil,Male,25-34,Upper secondary,Employed,Employment support
1060,2022-02-01,7,Other,Male,25-34,Bachelor,Employed,Employment support
1061,2022-02-01,2,Bangladesh,Male,25-34,Doctorate,Employed,Employment support
1079,2022-02-01,10,Bangladesh,Male,18-24,Bachelor,Inactive,Integration program
1268,2022-02-01,1,Other,Male,35-44,Doctorate,Employed,Housing support
1299,2022-02-01,1,Senegal,Female,55+,Bachelor,Employed,Language training
1352,2022-02-01,4,Portugal,Male,25-34,Master,Inactive,Employment support
1426,2022-02-01,8,Georgia,Female,25-34,Upper secondary,Employed,Employment support
1484,2022-02-01,7,India,Female,45-54,Upper secondary,Employed,Asylum application
1508,2022-02-01,7,Tunisia,Male,45-54,Bachelor,Unemployed,Housing support
1577,2022-02-01,3,Tunisia,Male,55+,Master,Employed,Housing support
1601,2022-02-01,7,Algeria,Female,55+,Master,Employed,Integration program
1627,2022-02-01,3,Bangladesh,Male,55+,Upper secondary,Unemployed,Housing support
1673,2022-02-01,1,Brazil,Female,55+,Master,Employed,Language training
1737,2022-02-01,1,Afghanistan,Female,45-54,Master,Employed,Employment support
1763,2022-02-01,7,Algeria,Female,25-34,Upper secondary,Employed,Housing support
1838,2022-02-01,1,Guinea,Male,35-44,Upper secondary,Employed,Employment support
1869,2022-02-01,5,Other,Male,35-44,Bachelor,Employed,Integration program
1908,2022-02-01,3,Nigeria,Male,45-54,Lower secondary,Unemployed,Language training
1913,2022-02-01,1,Turkey,Male,25-34,Master,Unemployed,Asylum application
1966,2022-02-01,4,Côte d'Ivoire,Female,45-54,Lower secondary,Unemployed,Employment support
1973,2022-02-01,5,Côte d'Ivoire,Male,35-44,Master,Employed,Housing support
2069,2022-02-01,1,Spain,Female,18-24,Upper secondary,Unemployed,Asylum application
2095,2022-02-01,1,Nigeria,Female,18-24,Master,Employed,Integration program
2107,2022-02-01,1,Brazil,Female,25-34,Bachelor,Unemployed,Integration program
2198,2022-02-01,1,Georgia,Male,25-34,Bachelor,Employed,Housing support
2223,2022-02-01,1,Ukraine,Female,25-34,Upper secondary,Unemployed,Housing support
2381,2022-02-01,5,Nigeria,Female,35-44,Master,Employed,Asylum application
2444,2022-02-01,2,Turkey,Female,25-34,Bachelor,Employed,Housing support
2472,2022-02-01,1,Turkey,Female,45-54,Master,Employed,Integration program
2494,2022-02-01,10,Syria,Female,45-54,Master,Unemployed,Housing support
2503,2022-02-01,1,India,Male,25-34,Doctorate,Employed,Employment support
2540,2022-02-01,6,Colombia,Male,25-34,Bachelor,Unemployed,Asylum application
2554,2022-02-01,3,Senegal,Female,35-44,Doctorate,Unemployed,Integration program
2569,2022-02-01,1,Syria,Female,35-44,Bachelor,Employed,Asylum application
2582,2022-02-01,1,Morocco,Male,25-34,Master,Employed,Employment support
2653,2022-02-01,8,Afghanistan,Female,55+,Master,Employed,Language training
2704,2022-02-01,2,China,Male,25-34,Master,Employed,Housing support
2762,2022-02-01,2,Guinea,Female,18-24,Master,Employed,Asylum application
2770,2022-02-01,9,Italy,Female,18-24,Doctorate,Employed,Asylum application
2795,2022-02-01,2,Turkey,Male,35-44,Master,Employed,Asylum application
2817,2022-02-01,6,Côte d'Ivoire,Female,45-54,Upper secondary,Unemployed,Language training
2825,2022-02-01,9,Syria,Female,45-54,Doctorate,Employed,Housing support
2833,2022-02-01,1,Colombia,Female,18-24,Bachelor,Unemployed,Housing support
2868,2022-02-01,1,Other,Female,25-34,Bachelor,Employed,Language training
2882,2022-02-01,1,Nigeria,Female,55+,Lower secondary,Inactive,Asylum application
3046,2022-02-01,1,Algeria,Male,18-24,Doctorate,Unemployed,Asylum application
3082,2022-02-01,8,Tunisia,Female,25-34,Lower secondary,Unemployed,Language training
3120,2022-02-01,7,Georgia,Male,45-54,Upper secondary,Employed,Language training
3182,2022-02-01,4,Bangladesh,Female,18-24,Upper secondary,Inactive,Employment support
3290,2022-02-01,1,Afghanistan,Female,18-24,Upper secondary,Employed,Employment support
3458,2022-02-01,5,Nigeria,Female,25-34,Master,Employed,Employment support
3463,2022-02-01,3,Nigeria,Female,25-34,Lower secondary,Unemployed,Housing support
3502,2022-02-01,4,Spain,Female,35-44,Bachelor,Unemployed,Employment support
3505,2022-02-01,2,Turkey,Male,35-44,Bachelor,Employed,Employment support
3527,2022-02-01,1,Tunisia,Female,35-44,Lower secondary,Unemployed,Employment support
3619,2022-02-01,1,Turkey,Male,35-44,Upper secondary,Employed,Employment support
3687,2022-02-01,7,Morocco,Male,45-54,Upper secondary,Inactive,Language training
3766,2022-02-01,1,Italy,Male,35-44,Master,Employed,Employment support
3834,2022-02-01,1,Algeria,Female,35-44,Bachelor,Employed,Integration program
3850,2022-02-01,1,Spain,Female,18-24,Upper secondary,Unemployed,Housing support
3877,2022-02-01,1,Guinea,Female,45-54,Lower secondary,Unemployed,Language training
3897,2022-02-01,1,Tunisia,Female,35-44,Upper secondary,Employed,Language training
3918,2022-02-01,1,Algeria,Male,25-34,Bachelor,Employed,Employment support
3923,2022-02-01,5,Guinea,Male,35-44,Upper secondary,Employed,Asylum application
3925,2022-02-01,8,Portugal,Male,18-24,Upper secondary,Unemployed,Asylum application
3959,2022-02-01,5,Côte d'Ivoire,Male,25-34,Lower secondary,Employed,Asylum application
3999,2022-02-01,1,Bangladesh,Male,25-34,Upper secondary,Unemployed,Language training
4006,2022-02-01,4,Spain,Male,25-34,Upper secondary,Unemployed,Language training
4007,2022-02-01,1,Turkey,Female,25-34,Bachelor,Unemployed,Asylum application
4030,2022-02-01,1,Guinea,Female,35-44,Master,Employed,Asylum application
4112,2022-02-01,2,Portugal,Male,25-34,Master,Employed,Housing support
4167,2022-02-01,6,Afghanistan,Male,55+,Lower secondary,Unemployed,Housing support
4199,2022-02-01,1,China,Male,35-44,Upper secondary,Employed,Asylum application
4211,2022-02-01,1,Brazil,Female,18-24,Bachelor,Unemployed,Asylum application
4258,2022-02-01,1,Brazil,Female,25-34,Bachelor,Employed,Housing support
4271,2022-02-01,10,Nigeria,Female,35-44,Doctorate,Unemployed,Asylum application
4325,2022-02-01,7,Spain,Male,25-34,Upper secondary,Employed,Language training
4334,2022-02-01,3,Turkey,Female,18-24,Bachelor,Inactive,Integration program
4426,2022-02-01,1,Italy,Male,35-44,Upper secondary,Employed,Language training
4442,2022-02-01,1,Tunisia,Male,25-34,Upper secondary,Unemployed,Employment support
4521,2022-02-01,1,China,Female,55+,Lower secondary,Inactive,Asylum application
4622,2022-02-01,6,Syria,Male,25-34,Doctorate,Employed,Language training
4637,2022-02-01,4,Senegal,Female,55+,Upper secondary,Unemployed,Housing support
4755,2022-02-01,6,Algeria,Male,35-44,Master,Employed,Integration program
4776,2022-02-01,5,Turkey,Male,25-34,Lower secondary,Unemployed,Housing support
4806,2022-02-01,1,Côte d'Ivoire,Male,35-44,Bachelor,Unemployed,Employment support
4860,2022-02-01,5,Turkey,Female,35-44,Upper secondary,Unemployed,Asylum application
4880,2022-02-01,7,Spain,Male,45-54,Upper secondary,Unemployed,Employment support
4943,2022-02-01,2,Nigeria,Male,35-44,Bachelor,Employed,Asylum application
4971,2022-02-01,2,Syria,Male,35-44,Bachelor,Unemployed,Housing support
5061,2022-02-01,3,Colombia,Male,25-34,Upper secondary,Unemployed,Language training
5080,2022-02-01,1,Italy,Female,45-54,Bachelor,Employed,Language training
5083,2022-02-01,3,Georgia,Male,25-34,Upper secondary,Employed,Housing support
5127,2022-02-01,4,China,Male,25-34,Upper secondary,Employed,Asylum application
5152,2022-02-01,1,Other,Female,25-34,Lower secondary,Employed,Integration program
5180,2022-02-01,5,Italy,Female,35-44,Bachelor,Employed,Integration program
5252,2022-02-01,1,Algeria,Male,45-54,Lower secondary,Inactive,Employment support
5259,2022-02-01,10,Syria,Female,35-44,Upper secondary,Employed,Integration program
5300,2022-02-01,1,Nigeria,Male,35-44,Lower secondary,Employed,Integration program
5448,2022-02-01,6,China,Male,25-34,Upper secondary,Employed,Integration program
5497,2022-02-01,8,Brazil,Female,18-24,Doctorate,Inactive,Employment support
5506,2022-02-01,8,Guinea,Female,25-34,Upper secondary,Unemployed,Asylum application
5681,2022-02-01,9,Guinea,Female,25-34,Master,Unemployed,Asylum application
5714,2022-02-01,7,Brazil,Female,25-34,Bachelor,Employed,Asylum application
5749,2022-02-01,1,India,Male,25-34,Doctorate,Employed,Housing support
5768,2022-02-01,4,Afghanistan,Female,45-54,Bachelor,Employed,Language training
5781,2022-02-01,2,Afghanistan,Male,18-24,Doctorate,Employed,Asylum application
5836,2022-02-01,1,Ukraine,Female,45-54,Lower secondary,Unemployed,Integration program
5855,2022-02-01,1,China,Female,25-34,Lower secondary,Unemployed,Integration program
5917,2022-02-01,1,Guinea,Female,45-54,Master,Employed,Employment support
25,2022-03-01,4,Bangladesh,Female,45-54,Master,Employed,Integration program
28,2022-03-01,4,Senegal,Male,18-24,Lower secondary,Unemployed,Language training
201,2022-03-01,1,Senegal,Male,35-44,Master,Inactive,Language training
232,2022-03-01,1,Italy,Male,35-44,Upper secondary,Inactive,Asylum application
267,2022-03-01,7,China,Female,18-24,Upper secondary,Unemployed,Housing support
306,2022-03-01,1,India,Female,18-24,Bachelor,Employed,Housing support
369,2022-03-01,3,Tunisia,Male,35-44,Upper secondary,Inactive,Housing support
377,2022-03-01,10,Georgia,Male,25-34,Doctorate,Employed,Language training
418,2022-03-01,7,Syria,Female,25-34,Master,Employed,Housing support
421,2022-03-01,10,Morocco,Female,25-34,Bachelor,Employed,Asylum application
454,2022-03-01,4,Afghanistan,Male,25-34,Upper secondary,Unemployed,Employment support
484,2022-03-01,1,Afghanistan,Male,45-54,Upper secondary,Unemployed,Housing support
493,2022-03-01,9,Afghanistan,Male,45-54,Bachelor,Employed,Housing support
630,2022-03-01,1,Other,Male,35-44,Master,Employed,Housing support
641,2022-03-01,7,Other,Male,18-24,Master,Employed,Asylum application
681,2022-03-01,2,Spain,Female,35-44,Lower secondary,Inactive,Asylum application
701,2022-03-01,1,Other,Male,25-34,Upper secondary,Inactive,Housing support
726,2022-03-01,1,Colombia,Male,25-34,Lower secondary,Employed,Integration program
805,2022-03-01,1,China,Male,45-54,Lower secondary,Inactive,Asylum application
808,2022-03-01,4,Senegal,Male,55+,Upper secondary,Unemployed,Integration program
881,2022-03-01,6,India,Female,18-24,Upper secondary,Employed,Asylum application
892,2022-03-01,7,Brazil,Female,25-34,Doctorate,Unemployed,Housing support
979,2022-03-01,1,China,Male,45-54,Bachelor,Employed,Employment support
1089,2022-03-01,1,Italy,Male,25-34,Bachelor,Unemployed,Employment support
1174,2022-03-01,1,Afghanistan,Female,35-44,Master,Employed,Integration program
1176,2022-03-01,1,China,Female,18-24,Master,Employed,Language training
1212,2022-03-01,7,Algeria,Male,45-54,Master,Employed,Housing support
1265,2022-03-01,5,Ukraine,Male,35-44,Bachelor,Employed,Housing support
1277,2022-03-01,2,Spain,Male,25-34,Upper secondary,Inactive,Integration program
1339,2022-03-01,1,Guinea,Male,25-34,Master,Employed,Asylum application
1380,2022-03-01,5,China,Male,25-34,Upper secondary,Unemployed,Employment support
1461,2022-03-01,5,Georgia,Female,35-44,Master,Employed,Employment support
1480,2022-03-01,4,Nigeria,Male,55+,Bachelor,Unemployed,Asylum application
1568,2022-03-01,1,Côte d'Ivoire,Female,35-44,Lower secondary,Employed,Integration program
1604,2022-03-01,5,Côte d'Ivoire,Female,35-44,Master,Employed,Employment support
1645,2022-03-01,4,Morocco,Male,35-44,Upper secondary,Employed,Employment support
1678,2022-03-01,3,Spain,Male,55+,Upper secondary,Employed,Integration program
1754,2022-03-01,3,Italy,Male,45-54,Master,Employed,Language training
1814,2022-03-01,5,Brazil,Male,25-34,Upper secondary,Unemployed,Language training
1827,2022-03-01,4,Côte d'Ivoire,Female,45-54,Bachelor,Employed,Employment support
1855,2022-03-01,3,Turkey,Female,25-34,Master,Employed,Integration program
1923,2022-03-01,7,Turkey,Male,45-54,Bachelor,Employed,Housing support
1925,2022-03-01,4,Other,Male,45-54,Upper secondary,Unemployed,Integration program
2145,2022-03-01,7,Turkey,Male,35-44,Upper secondary,Unemployed,Integration program
2186,2022-03-01,2,Spain,Male,55+,Upper secondary,Employed,Housing support
2195,2022-03-01,2,Syria,Male,55+,Bachelor,Unemployed,Integration program
2202,2022-03-01,5,India,Male,55+,Doctorate,Inactive,Employment support
2278,2022-03-01,6,Portugal,Male,45-54,Upper secondary,Employed,Language training
2287,2022-03-01,1,Morocco,Female,25-34,Master,Employed,Integration program
2365,2022-03-01,6,Other,Female,35-44,Bachelor,Employed,Language training
2431,2022-03-01,7,Guinea,Male,18-24,Master,Employed,Integration program
2454,2022-03-01,7,Colombia,Male,55+,Master,Employed,Employment support
2463,2022-03-01,2,Bangladesh,Female,35-44,Lower secondary,Inactive,Integration program
2485,2022-03-01,3,Georgia,Male,45-54,Master,Employed,Employment support
2542,2022-03-01,2,Côte d'Ivoire,Female,18-24,Upper secondary,Inactive,Asylum application
2588,2022-03-01,5,Bangladesh,Female,25-34,Upper secondary,Employed,Integration program
2629,2022-03-01,2,Colombia,Male,25-34,Upper secondary,Unemployed,Employment support
2661,2022-03-01,10,Spain,Male,25-34,Master,Employed,Integration program
2696,2022-03-01,4,Spain,Male,35-44,Upper secondary,Unemployed,Language training
2716,2022-03-01,1,Algeria,Male,18-24,Upper secondary,Employed,Language training
2753,2022-03-01,9,Côte d'Ivoire,Female,45-54,Master,Employed,Employment support
2849,2022-03-01,3,Nigeria,Female,45-54,Master,Employed,Language training
2904,2022-03-01,8,Turkey,Female,25-34,Doctorate,Employed,Housing support
2994,2022-03-01,4,Senegal,Male,25-34,Bachelor,Employed,Employment support
2995,2022-03-01,9,Afghanistan,Female,25-34,Bachelor,Unemployed,Integration program
3011,2022-03-01,10,Bangladesh,Male,25-34,Upper secondary,Employed,Employment support
3078,2022-03-01,1,Spain,Male,35-44,Bachelor,Unemployed,Integration program
3104,2022-03-01,3,Tunisia,Female,35-44,Master,Employed,Employment support
3122,2022-03-01,1,India,Male,55+,Upper secondary,Inactive,Housing support
3158,2022-03-01,1,India,Female,18-24,Lower secondary,Unemployed,Integration program
3161,2022-03-01,2,Other,Male,25-34,Doctorate,Employed,Employment support
3251,2022-03-01,4,Other,Male,25-34,Doctorate,Employed,Employment support
3252,2022-03-01,6,Afghanistan,Female,25-34,Bachelor,Employed,Language training
3285,2022-03-01,1,Portugal,Male,35-44,Upper secondary,Employed,Integration program
3340,2022-03-01,4,Portugal,Male,25-34,Bachelor,Employed,Language training
