support_id,region_id,support_date,program,education_level,age_group,sex,completed,employment_outcome
126,7,2022-02-01,Skills training,Upper secondary,25-34,Female,No,Still unemployed
127,7,2025-06-01,Employer matching,Lower secondary,25-34,Male,Yes,Employed
128,2,2025-11-01,Employer matching,Master,25-34,Female,Yes,Training
129,4,2024-08-01,Employer matching,Lower secondary,25-34,Female,No,Training
130,1,2025-09-01,Skills training,Lower secondary,18-24,Male,Yes,Employed
131,4,2024-06-01,Skills training,Upper secondary,18-24,Female,No,Still unemployed
132,8,2025-06-01,CV workshop,Bachelor,35-44,Male,Yes,Employed
133,6,2023-12-01,Job placement,Master,25-34,Female,Yes,Employed
134,7,2023-09-01,Job placement,Lower secondary,45-54,Male,Yes,Employed
135,6,2024-03-01,Skills training,Bachelor,35-44,Male,No,Still unemployed
136,4,2023-07-01,CV workshop,Bachelor,18-24,Male,Yes,Employed
137,5,2023-07-01,Employer matching,Bachelor,35-44,Male,Yes,Employed
138,8,2023-12-01,Language course,Bachelor,35-44,Female,Yes,Employed
139,8,2024-07-01,CV workshop,Bachelor,18-24,Male,Yes,Still unemployed
140,5,2024-08-01,Language course,Master,55+,Female,No,Still unemployed
141,8,2022-01-01,CV workshop,Lower secondary,45-54,Female,Yes,Still unemployed
142,8,2023-01-01,Employer matching,Upper secondary,45-54,Male,Yes,Employed
143,5,2023-01-01,Job placement,Master,35-44,Female,Yes,Employed
144,9,2023-08-01,Employer matching,Lower secondary,45-54,Female,Yes,Employed
145,2,2024-07-01,Employer matching,Doctorate,25-34,Male,Yes,Employed
146,8,2025-11-01,Skills training,Bachelor,45-54,Male,No,Employed
147,6,2024-11-01,Employer matching,Upper secondary,55+,Male,No,Still unemployed
148,10,2022-04-01,Skills training,Bachelor,18-24,Female,Yes,Employed
149,2,2024-09-01,Employer matching,Upper secondary,35-44,Male,Yes,Employed
150,1,2022-10-01,Job placement,Master,18-24,Male,Yes,Employed
151,1,2024-11-01,Job placement,Bachelor,35-44,Male,Yes,Employed
152,2,2022-02-01,Job placement,Upper secondary,45-54,Male,Yes,Employed
153,6,2023-05-01,Employer matching,Master,25-34,Male,Yes,Still unemployed
154,8,2024-05-01,Job placement,Bachelor,25-34,Male,Yes,Employed
155,9,2022-10-01,Employer matching,Bachelor,18-24,Male,Yes,Still unemployed
156,8,2024-01-01,Employer matching,Bachelor,35-44,Male,Yes,Still unemployed
157,3,2023-09-01,CV workshop,Master,18-24,Female,No,Still unemployed
158,5,2022-04-01,Employer matching,Upper secondary,55+,Female,No,Still unemployed
159,1,2023-06-01,Language course,Master,25-34,Female,Yes,Employed
160,6,2023-11-01,Job placement,Bachelor,25-34,Male,Yes,Employed
161,8,2024-04-01,Job placement,Doctorate,55+,Female,No,Still unemployed
162,3,2022-10-01,Job placement,Doctorate,35-44,Female,Yes,Still unemployed
163,6,2025-03-01,Language course,Lower secondary,25-34,Female,Yes,Employed
164,4,2024-08-01,Language course,Upper secondary,45-54,Male,Yes,Still unemployed
165,9,2025-02-01,Job placement,Bachelor,45-54,Male,No,Training
166,1,2025-03-01,Job placement,Upper secondary,45-54,Female,Yes,Employed
167,8,2025-01-01,Employer matching,Bachelor,25-34,Female,No,Still unemployed
168,1,2022-06-01,Job placement,Upper secondary,25-34,Male,Yes,Employed
169,5,2023-07-01,Skills training,Doctorate,35-44,Male,Yes,Employed
170,7,2025-01-01,Language course,Upper secondary,35-44,Male,Yes,Employed
171,5,2023-07-01,Employer matching,Lower secondary,25-34,Male,Yes,Employed
172,6,2023-10-01,Employer matching,Bachelor,18-24,Male,No,Still unemployed
173,7,2023-08-01,Language course,Upper secondary,25-34,Female,Yes,Training
174,8,2024-01-01,Language course,Master,45-54,Male,No,Still unemployed
175,1,2022-02-01,Employer matching,Lower secondary,25-34,Female,Yes,Employed
176,4,2023-10-01,CV workshop,Bachelor,25-34,Female,No,Training
177,6,2024-07-01,Skills training,Upper secondary,25-34,Female,No,Employed
178,9,2024-11-01,CV workshop,Doctorate,35-44,Female,Yes,Employed
179,7,2024-05-01,Language course,Master,55+,Female,Yes,Employed
180,4,2024-11-01,CV workshop,Master,25-34,Female,No,Still unemployed
181,9,2022-04-01,Skills training,Bachelor,45-54,Male,Yes,Employed
182,4,2024-05-01,Language course,Bachelor,35-44,Male,Yes,Still unemployed
183,9,2024-08-01,Job placement,Lower secondary,55+,Male,Yes,Training
184,6,2022-11-01,Skills training,Master,18-24,Male,Yes,Employed
185,8,2023-07-01,CV workshop,Doctorate,45-54,Male,No,Training
186,6,2023-07-01,Job placement,Upper secondary,45-54,Female,Yes,Employed
187,8,2022-03-01,Skills training,Bachelor,45-54,Female,Yes,Training
188,8,2025-04-01,Skills training,Bachelor,45-54,Male,No,Training
189,6,2024-04-01,Skills training,Bachelor,25-34,Male,Yes,Still unemployed
190,5,2023-04-01,Job placement,Bachelor,25-34,Female,Yes,Training
191,5,2025-10-01,Employer matching,Bachelor,18-24,Male,Yes,Employed
192,10,2025-09-01,Employer matching,Master,18-24,Female,Yes,Still unemployed
193,6,2022-04-01,Skills training,Upper secondary,55+,Female,Yes,Training
194,5,2023-02-01,Job placement,Lower secondary,45-54,Male,No,Still unemployed
195,4,2025-10-01,Job placement,Upper secondary,18-24,Male,Yes,Employed
196,1,2024-03-01,Employer matching,Lower secondary,25-34,Female,No,Employed
197,2,2023-08-01,Employer matching,Bachelor,25-34,Female,Yes,Employed
198,6,2024-06-01,Skills training,Bachelor,25-34,Male,Yes,Employed
199,1,2025-02-01,CV workshop,Upper secondary,45-54,Female,Yes,Employed
200,8,2022-09-01,Employer matching,Upper secondary,55+,Male,Yes,Employed
201,4,2022-12-01,Job placement,Master,25-34,Male,Yes,Still unemployed
202,5,2023-12-01,Employer matching,Master,45-54,Female,Yes,Employed
203,6,2022-10-01,Employer matching,Bachelor,25-34,Male,Yes,Employed
204,4,2023-01-01,CV workshop,Lower secondary,45-54,Female,No,Still unemployed
205,7,2022-07-01,Employer matching,Master,18-24,Female,Yes,Employed
206,6,2022-12-01,Skills training,Lower secondary,25-34,Male,Yes,Employed
207,4,2024-05-01,Job placement,Master,35-44,Male,Yes,Employed
208,7,2023-12-01,CV workshop,Bachelor,18-24,Male,Yes,Still unemployed
209,3,2024-05-01,Job placement,Upper secondary,18-24,Male,Yes,Employed
210,7,2023-03-01,Employer matching,Lower secondary,25-34,Male,Yes,Employed
211,1,2024-12-01,Employer matching,Master,25-34,Female,Yes,Employed
212,5,2024-05-01,Skills training,Upper secondary,25-34,Female,Yes,Employed
213,5,2022-02-01,Language course,Bachelor,25-34,Male,Yes,Employed
214,4,2024-11-01,Employer matching,Lower secondary,25-34,Male,No,Employed
215,9,2024-08-01,Job placement,Master,18-24,Male,Yes,Employed
216,9,2024-11-01,Job placement,Master,25-34,Female,No,Still unemployed
217,8,2024-05-01,Language course,Upper secondary,25-34,Male,Yes,Employed
218,3,2022-11-01,Language course,Bachelor,35-44,Female,Yes,Employed
219,4,2025-03-01,Employer matching,Bachelor,25-34,Female,No,Still unemployed
220,4,2023-05-01,Language course,Lower secondary,25-34,Female,Yes,Employed
221,8,2022-11-01,CV workshop,Bachelor,25-34,Male,Yes,Training
222,7,2025-11-01,Skills training,Upper secondary,18-24,Male,Yes,Training
223,2,2024-04-01,Skills training,Upper secondary,18-24,Male,No,Training
224,5,2025-08-01,Employer matching,Doctorate,45-54,Female,No,Still unemployed
225,6,2023-06-01,Employer matching,Upper secondary,25-34,Female,Yes,Training
226,4,2025-09-01,Job placement,Bachelor,35-44,Female,Yes,Employed
227,1,2025-11-01,Skills training,Doctorate,25-34,Female,Yes,Employed
228,2,2024-06-01,CV workshop,Lower secondary,25-34,Female,Yes,Employed
229,10,2023-03-01,Job placement,Upper secondary,25-34,Male,Yes,Training
230,6,2024-03-01,CV workshop,Bachelor,25-34,Male,No,Employed
231,2,2024-05-01,Skills training,Bachelor,35-44,Male,Yes,Employed
232,10,2024-02-01,Skills training,Master,35-44,Female,Yes,Employed
233,10,2023-04-01,CV workshop,Bachelor,25-34,Female,Yes,Employed
234,9,2024-12-01,Job placement,Master,25-34,Male,Yes,Employed
235,6,2024-11-01,Skills training,Upper secondary,25-34,Male,Yes,Employed
236,8,2022-03-01,Job placement,Bachelor,18-24,Female,Yes,Employed
237,10,2024-07-01,CV workshop,Master,35-44,Male,Yes,Employed
238,5,2022-08-01,Skills training,Upper secondary,45-54,Female,No,Employed
239,10,2025-11-01,Employer matching,Bachelor,35-44,Female,Yes,Employed
240,9,2023-01-01,Language course,Upper secondary,18-24,Female,Yes,Employed
241,7,2024-06-01,Employer matching,Bachelor,25-34,Female,Yes,Employed
242,10,2024-07-01,Skills training,Upper secondary,25-34,Female,Yes,Employed
243,5,2025-02-01,Language course,Bachelor,45-54,Female,Yes,Employed
244,3,2023-01-01,Language course,Bachelor,25-34,Male,No,Still unemployed
245,10,2025-04-01,Language course,Bachelor,18-24,Male,Yes,Employed
246,5,2022-07-01,Language course,Upper secondary,35-44,Male,No,Still unemployed
247,7,2022-01-01,Job placement,Upper secondary,35-44,Female,Yes,Training
248,9,2022-05-01,Job placement,Bachelor,55+,Male,No,Still unemployed
249,2,2022-03-01,Language course,Bachelor,35-44,Female,Yes,Employed
250,9,2025-08-01,Job placement,Doctorate,18-24,Male,No,Still unemployed
251,7,2022-04-01,Employer matching,Lower secondary,35-44,Female,Yes,Training
252,9,2024-09-01,Employer matching,Doctorate,25-34,Male,Yes,Training
253,3,2024-02-01,Employer matching,Master,45-54,Female,Yes,Employed
254,10,2023-09-01,CV workshop,Upper secondary,25-34,Male,Yes,Employed
255,2,2022-09-01,Skills training,Bachelor,45-54,Male,Yes,Still unemployed
256,3,2022-05-01,CV workshop,Upper secondary,25-34,Male,No,Employed
257,6,2023-12-01,CV workshop,Bachelor,35-44,Female,Yes,Employed
258,6,2024-07-01,Skills training,Master,35-44,Female,Yes,Employed
259,9,2024-07-01,Job placement,Lower secondary,18-24,Female,Yes,Employed
260,2,2024-06-01,Job placement,Master,25-34,Female,Yes,Employed
261,10,2023-08-01,Employer matching,Bachelor,35-44,Female,Yes,Employed
262,6,2022-01-01,CV workshop,Bachelor,35-44,Male,Yes,Employed
263,7,2025-03-01,CV workshop,Bachelor,18-24,Female,No,Still unemployed
264,1,2023-04-01,Skills training,Upper secondary,18-24,Female,Yes,Employed
265,2,2024-08-01,Language course,Upper secondary,25-34,Male,Yes,Employed
266,5,2025-01-01,Employer matching,Bachelor,25-34,Male,Yes,Still unemployed
267,6,2025-12-01,Employer matching,Bachelor,35-44,Male,Yes,Employed
268,6,2025-06-01,Language course,Bachelor,18-24,Female,No,Still unemployed
269,2,2025-06-01,Job placement,Lower secondary,25-34,Male,Yes,Employed
270,7,2023-01-01,Skills training,Master,25-34,Male,Yes,Still unemployed
271,3,2024-07-01,Employer matching,Bachelor,45-54,Female,Yes,Employed
272,3,2023-10-01,Language course,Master,25-34,Male,Yes,Employed
273,2,2023-12-01,Language course,Bachelor,35-44,Female,No,Employed
274,9,2025-02-01,CV workshop,Lower secondary,45-54,Male,Yes,Employed
275,7,2025-10-01,Language course,Master,35-44,Female,No,Still unemployed
276,1,2024-05-01,Job placement,Doctorate,18-24,Female,Yes,Training
277,2,2022-07-01,CV workshop,Bachelor,35-44,Female,No,Employed
278,7,2023-05-01,Employer matching,Upper secondary,45-54,Male,Yes,Still unemployed
279,7,2022-11-01,Job placement,Bachelor,25-34,Male,No,Still unemployed
280,10,2025-11-01,Skills training,Master,45-54,Male,Yes,Employed
281,10,2025-11-01,Job placement,Lower secondary,35-44,Female,No,Still unemployed
282,9,2024-01-01,Skills training,Lower secondary,35-44,Male,Yes,Employed
283,9,2022-10-01,Language course,Master,35-44,Male,Yes,Training
284,6,2024-07-01,Language course,Upper secondary,25-34,Male,Yes,Employed
285,10,2025-10-01,Skills training,Bachelor,25-34,Female,No,Employed
286,2,2024-01-01,Job placement,Master,45-54,Male,Yes,Employed
287,6,2022-12-01,Employer matching,Upper secondary,45-54,Male,No,Employed
288,1,2022-07-01,Job placement,Doctorate,25-34,Male,Yes,Still unemployed
289,8,2024-05-01,Job placement,Master,35-44,Male,Yes,Employed
290,8,2024-03-01,Language course,Bachelor,35-44,Male,No,Still unemployed
291,10,2023-05-01,Job placement,Bachelor,25-34,Female,Yes,Employed
292,2,2023-02-01,CV workshop,Upper secondary,35-44,Female,Yes,Employed
293,8,2025-01-01,Job placement,Bachelor,25-34,Male,Yes,Employed
294,1,2022-02-01,CV workshop,Lower secondary,25-34,Male,No,Still unemployed
295,1,2024-11-01,Skills training,Upper secondary,25-34,Female,No,Employed
296,5,2022-08-01,Job placement,Bachelor,25-34,Male,Yes,Employed
297,10,2025-12-01,Language course,Master,25-34,Female,Yes,Employed
298,2,2025-09-01,Skills training,Upper secondary,25-34,Male,Yes,Employed
299,4,2022-05-01,Language course,Lower secondary,35-44,Female,Yes,Still unemployed
300,9,2025-03-01,Skills training,Lower secondary,45-54,Female,Yes,Employed
301,10,2024-05-01,Job placement,Master,45-54,Female,No,Employed
302,6,2022-02-01,Skills training,Upper secondary,35-44,Male,Yes,Training
303,4,2023-04-01,CV workshop,Lower secondary,35-44,Female,Yes,Training
304,9,2024-06-01,Employer matching,Master,45-54,Female,No,Still unemployed
305,6,2022-07-01,Job placement,Lower secondary,35-44,Female,No,Still unemployed
306,4,2024-05-01,Job placement,Bachelor,18-24,Male,Yes,Still unemployed
307,3,2023-04-01,Language course,Bachelor,25-34,Female,Yes,Employed
308,10,2023-11-01,Employer matching,Master,25-34,Female,Yes,Employed
309,5,2022-08-01,Employer matching,Bachelor,55+,Female,No,Still unemployed
310,10,2022-07-01,Skills training,Bachelor,35-44,Female,No,Still unemployed
311,2,2025-10-01,Employer matching,Lower secondary,25-34,Male,Yes,Still unemployed
312,6,2025-09-01,Skills training,Bachelor,25-34,Male,No,Still unemployed
313,5,2025-03-01,Language course,Bachelor,55+,Female,Yes,Employed
314,2,2024-01-01,Employer matching,Upper secondary,45-54,Male,No,Employed
315,10,2025-09-01,Employer matching,Master,25-34,Female,No,Employed
316,1,2024-12-01,Employer matching,Bachelor,25-34,Female,Yes,Employed
317,1,2024-03-01,Skills training,Bachelor,25-34,Female,Yes,Employed
318,10,2025-05-01,CV workshop,Upper secondary,55+,Male,Yes,Employed
319,3,2025-06-01,CV workshop,Bachelor,35-44,Male,Yes,Employed
320,6,2025-11-01,CV workshop,Bachelor,18-24,Female,No,Employed
321,2,2025-12-01,Job placement,Bachelor,25-34,Male,Yes,Employed
322,3,2022-06-01,CV workshop,Master,35-44,Female,No,Still unemployed
323,9,2025-12-01,Job placement,Master,35-44,Male,Yes,Still unemployed
324,4,2023-07-01,Employer matching,Bachelor,25-34,Male,No,Still unemployed
325,9,2024-08-01,Language course,Master,35-44,Male,No,Still unemployed
326,10,2024-02-01,Language course,Upper secondary,25-34,Male,Yes,Employed
327,10,2023-03-01,Employer matching,Bachelor,55+,Female,Yes,Employed
328,10,2024-04-01,Job placement,Upper secondary,45-54,Female,Yes,Employed
329,5,2024-04-01,CV workshop,Master,25-34,Female,Yes,Employed
330,3,2025-08-01,Job placement,Bachelor,25-34,Female,No,Still unemployed
331,8,2025-12-01,Job placement,Upper secondary,25-34,Female,No,Training
332,6,2023-12-01,CV workshop,Doctorate,18-24,Male,Yes,Employed
333,2,2022-03-01,Language course,Upper secondary,45-54,Female,Yes,Employed
334,9,2025-01-01,Skills training,Master,45-54,Male,No,Still unemployed
335,9,2025-07-01,Language course,Master,25-34,Male,Yes,Still unemployed
336,8,2023-10-01,Skills training,Bachelor,45-54,Female,No,Still unemployed
337,5,2023-04-01,Job placement,Upper secondary,55+,Male,Yes,Training
338,7,2023-07-01,Language course,Lower secondary,35-44,Male,Yes,Employed
339,2,2023-08-01,CV workshop,Upper secondary,25-34,Female,Yes,Training
340,9,2023-01-01,CV workshop,Master,45-54,Male,No,Still unemployed
341,9,2023-05-01,Language course,Upper secondary,25-34,Male,No,Still unemployed
342,9,2023-03-01,Job placement,Upper secondary,55+,Female,No,Employed
343,5,2022-07-01,Job placement,Lower secondary,25-34,Female,Yes,Employed
344,7,2024-07-01,Skills training,Bachelor,25-34,Female,Yes,Training
345,1,2023-07-01,Skills training,Bachelor,18-24,Female,Yes,Employed
346,5,2022-03-01,Job placement,Bachelor,25-34,Male,Yes,Employed
347,6,2024-06-01,Employer matching,Master,35-44,Male,No,Employed
348,9,2023-03-01,Job placement,Lower secondary,25-34,Male,Yes,Employed
349,9,2022-07-01,CV workshop,Upper secondary,35-44,Female,No,Employed
350,8,2024-09-01,Language course,Bachelor,25-34,Female,Yes,Employed
351,2,2024-10-01,Language course,Upper secondary,35-44,Male,Yes,Employed
352,2,2022-05-01,CV workshop,Upper secondary,35-44,Female,Yes,Employed
353,9,2025-01-01,Job placement,Master,55+,Male,Yes,Employed
354,6,2024-02-01,Language course,Lower secondary,45-54,Female,Yes,Still unemployed
355,9,2022-08-01,Employer matching,Master,25-34,Male,No,Still unemployed
356,6,2023-11-01,Skills training,Master,25-34,Female,No,Still unemployed
357,1,2025-12-01,Skills training,Upper secondary,18-24,Female,Yes,Employed
358,10,2022-04-01,Employer matching,Upper secondary,25-34,Female,Yes,Still unemployed
359,9,2023-12-01,Skills training,Upper secondary,25-34,Female,Yes,Still unemployed
360,5,2022-04-01,Language course,Lower secondary,55+,Female,Yes,Training
361,3,2022-10-01,Employer matching,Bachelor,45-54,Male,Yes,Still unemployed
362,3,2024-05-01,CV workshop,Master,45-54,Male,Yes,Employed
363,9,2024-05-01,Employer matching,Upper secondary,25-34,Male,Yes,Still unemployed
364,2,2024-02-01,Employer matching,Upper secondary,45-54,Male,No,Still unemployed
365,6,2024-04-01,Language course,Bachelor,45-54,Male,No,Training
366,10,2024-11-01,Employer matching,Lower secondary,18-24,Female,No,Employed
367,6,2023-11-01,Language course,Upper secondary,25-34,Male,Yes,Employed
368,6,2024-06-01,Skills training,Upper secondary,35-44,Female,Yes,Employed
369,5,2025-07-01,Skills training,Master,25-34,Male,Yes,Employed
370,3,2023-12-01,Language course,Lower secondary,25-34,Male,Yes,Employed
371,3,2022-06-01,Employer matching,Upper secondary,55+,Male,No,Still unemployed
372,5,2023-09-01,CV workshop,Bachelor,25-34,Female,Yes,Still unemployed
373,5,2024-10-01,Job placement,Upper secondary,25-34,Female,Yes,Employed
374,1,2023-04-01,Employer matching,Upper secondary,25-34,Male,Yes,Employed
375,9,2023-05-01,CV workshop,Doctorate,35-44,Male,No,Employed
376,1,2022-02-01,Job placement,Master,35-44,Male,Yes,Employed
