case_id,application_date,region_id,country_of_citizenship,sex,age_group,decision,protection_type
99,2025-08-01,1,India,Male,25-34,Rejected,None
100,2023-02-01,3,Ukraine,Male,35-44,Accepted,Subsidiary protection
101,2024-07-01,7,Morocco,Male,18-24,Pending,None
102,2022-08-01,4,India,Male,35-44,Accepted,Subsidiary protection
103,2024-04-01,2,China,Female,25-34,Pending,None
104,2025-04-01,2,China,Female,25-34,Accepted,Temporary protection
105,2023-07-01,5,Côte d'Ivoire,Male,25-34,Pending,None
106,2022-08-01,3,Italy,Male,25-34,Pending,None
107,2024-01-01,4,Italy,Male,35-44,Accepted,Refugee status
108,2022-08-01,4,Afghanistan,Male,25-34,Pending,None
109,2024-08-01,6,Morocco,Male,45-54,Accepted,Refugee status
110,2022-12-01,5,Syria,Female,35-44,Accepted,Refugee status
111,2024-08-01,5,Turkey,Male,45-54,Withdrawn,None
112,2024-11-01,5,Portugal,Male,35-44,Pending,None
113,2025-12-01,9,Syria,Male,18-24,Pending,None
114,2022-10-01,6,Afghanistan,Male,25-34,Rejected,None
115,2025-09-01,4,Afghanistan,Male,35-44,Pending,None
116,2023-04-01,8,Guinea,Female,35-44,Accepted,Subsidiary protection
117,2022-08-01,8,Italy,Female,35-44,Rejected,None
118,2025-08-01,2,Ukraine,Male,25-34,Pending,None
119,2024-04-01,7,Senegal,Male,35-44,Withdrawn,None
120,2024-04-01,10,Ukraine,Female,25-34,Accepted,Refugee status
121,2023-03-01,1,Algeria,Male,18-24,Rejected,None
122,2022-09-01,2,Senegal,Female,25-34,Rejected,None
123,2022-03-01,2,Georgia,Female,25-34,Rejected,None
124,2025-06-01,4,Syria,Female,25-34,Pending,None
125,2022-01-01,10,Tunisia,Male,18-24,Accepted,Refugee status
126,2024-01-01,1,Portugal,Female,45-54,Accepted,Subsidiary protection
127,2023-01-01,6,Nigeria,Female,45-54,Accepted,Subsidiary protection
128,2025-05-01,6,Bangladesh,Female,18-24,Rejected,None
129,2024-10-01,5,Turkey,Male,45-54,Accepted,Subsidiary protection
130,2022-04-01,4,Italy,Female,45-54,Accepted,Refugee status
131,2022-07-01,4,Turkey,Male,35-44,Accepted,Subsidiary protection
132,2022-08-01,1,Bangladesh,Female,45-54,Pending,None
133,2024-11-01,1,Bangladesh,Male,35-44,Accepted,Refugee status
134,2022-05-01,1,Côte d'Ivoire,Female,18-24,Pending,None
135,2022-12-01,1,Turkey,Male,18-24,Accepted,Refugee status
136,2023-12-01,5,Guinea,Female,18-24,Pending,None
137,2022-09-01,8,Spain,Male,25-34,Rejected,None
138,2023-07-01,1,Algeria,Female,18-24,Pending,None
139,2023-03-01,5,Senegal,Female,18-24,Rejected,None
140,2023-08-01,1,Morocco,Male,25-34,Accepted,Subsidiary protection
141,2022-02-01,2,Algeria,Male,25-34,Accepted,Refugee status
142,2023-06-01,1,Guinea,Male,25-34,Rejected,None
143,2024-02-01,1,Morocco,Male,35-44,Rejected,None
144,2023-09-01,8,China,Male,25-34,Pending,None
145,2025-10-01,2,Italy,Male,25-34,Rejected,None
146,2023-07-01,1,Syria,Male,25-34,Accepted,Refugee status
147,2023-03-01,1,Turkey,Female,35-44,Rejected,None
148,2022-08-01,7,Morocco,Female,18-24,Rejected,None
149,2024-06-01,2,Tunisia,Female,25-34,Rejected,None
150,2024-04-01,9,Georgia,Male,25-34,Pending,None
151,2022-03-01,4,Georgia,Male,35-44,Accepted,Refugee status
152,2025-06-01,3,Tunisia,Female,25-34,Accepted,Subsidiary protection
153,2025-11-01,3,Italy,Male,55+,Pending,None
154,2025-12-01,6,Algeria,Male,18-24,Rejected,None
155,2025-02-01,7,Senegal,Male,25-34,Rejected,None
156,2022-06-01,1,Syria,Female,35-44,Rejected,None
157,2025-08-01,2,Guinea,Male,25-34,Pending,None
158,2023-08-01,1,China,Female,45-54,Rejected,None
159,2025-06-01,8,Italy,Female,35-44,Accepted,Subsidiary protection
160,2022-12-01,6,Turkey,Male,35-44,Pending,None
161,2024-09-01,1,Guinea,Female,45-54,Accepted,Subsidiary protection
162,2024-04-01,2,India,Male,18-24,Accepted,Refugee status
163,2023-11-01,2,Portugal,Female,25-34,Accepted,Refugee status
164,2023-06-01,9,Italy,Male,25-34,Rejected,None
165,2022-03-01,3,Côte d'Ivoire,Male,35-44,Pending,None
166,2025-07-01,1,Georgia,Male,45-54,Accepted,Temporary protection
167,2024-11-01,6,Tunisia,Female,25-34,Pending,None
168,2025-09-01,1,Côte d'Ivoire,Female,18-24,Pending,None
169,2024-01-01,5,Portugal,Female,35-44,Pending,None
170,2023-04-01,3,Bangladesh,Female,35-44,Rejected,None
171,2024-06-01,6,Senegal,Female,25-34,Accepted,Refugee status
172,2023-06-01,4,Turkey,Male,18-24,Accepted,Subsidiary protection
173,2025-10-01,1,Afghanistan,Male,18-24,Accepted,Refugee status
174,2024-02-01,8,Algeria,Male,18-24,Pending,None
175,2024-09-01,8,Georgia,Male,25-34,Pending,None
176,2024-07-01,2,Senegal,Female,35-44,Accepted,Refugee status
177,2023-07-01,4,Guinea,Male,25-34,Rejected,None
178,2025-01-01,4,Algeria,Male,45-54,Rejected,None
179,2023-12-01,4,Syria,Female,25-34,Pending,None
180,2022-05-01,1,Tunisia,Female,35-44,Accepted,Subsidiary protection
181,2023-08-01,3,Turkey,Female,25-34,Accepted,Refugee status
182,2022-03-01,1,India,Male,18-24,Rejected,None
183,2024-12-01,7,Algeria,Female,25-34,Pending,None
184,2024-09-01,7,Côte d'Ivoire,Female,35-44,Pending,None
185,2025-08-01,1,Syria,Female,35-44,Withdrawn,None
186,2023-11-01,6,Spain,Female,35-44,Pending,None
187,2025-12-01,1,Tunisia,Male,25-34,Withdrawn,None
188,2024-09-01,1,India,Female,25-34,Accepted,Subsidiary protection
189,2023-07-01,1,Senegal,Female,45-54,Accepted,Refugee status
190,2023-03-01,3,Georgia,Male,18-24,Pending,None
191,2025-10-01,7,Ukraine,Male,18-24,Rejected,None
192,2022-09-01,1,Turkey,Male,25-34,Pending,None
193,2022-01-01,9,Morocco,Female,35-44,Accepted,Refugee status
194,2022-06-01,2,Algeria,Male,45-54,Pending,None
195,2024-10-01,1,Côte d'Ivoire,Female,35-44,Pending,None
196,2025-02-01,3,Afghanistan,Male,25-34,Rejected,None
197,2024-01-01,5,Turkey,Male,35-44,Pending,None
198,2023-08-01,3,Portugal,Female,25-34,Accepted,Subsidiary protection
199,2022-09-01,2,Morocco,Male,18-24,Rejected,None
200,2022-04-01,1,Côte d'Ivoire,Female,18-24,Accepted,Subsidiary protection
201,2024-12-01,5,India,Female,55+,Rejected,None
202,2022-12-01,2,Spain,Male,35-44,Pending,None
203,2025-12-01,10,Ukraine,Female,18-24,Rejected,None
204,2025-06-01,2,India,Male,25-34,Pending,None
205,2025-01-01,1,Guinea,Male,45-54,Accepted,Subsidiary protection
206,2023-12-01,8,India,Male,35-44,Rejected,None
207,2023-06-01,1,Côte d'Ivoire,Female,25-34,Rejected,None
208,2025-05-01,1,Portugal,Female,55+,Pending,None
209,2022-03-01,6,Tunisia,Male,25-34,Accepted,Refugee status
210,2025-10-01,1,Tunisia,Male,25-34,Rejected,None
211,2025-04-01,2,Senegal,Male,25-34,Rejected,None
212,2022-04-01,3,Morocco,Male,35-44,Accepted,Temporary protection
213,2022-11-01,7,Portugal,Male,25-34,Pending,None
214,2025-10-01,4,Afghanistan,Male,18-24,Accepted,Refugee status
215,2024-08-01,6,Côte d'Ivoire,Male,35-44,Withdrawn,None
216,2023-06-01,10,Ukraine,Male,25-34,Pending,None
217,2025-04-01,6,Côte d'Ivoire,Male,35-44,Rejected,None
218,2024-10-01,1,Afghanistan,Female,45-54,Accepted,Refugee status
219,2025-09-01,6,India,Male,35-44,Rejected,None
220,2023-08-01,7,Afghanistan,Male,25-34,Pending,None
221,2024-05-01,2,Portugal,Male,35-44,Pending,None
222,2024-06-01,5,India,Female,18-24,Pending,None
223,2022-03-01,3,Tunisia,Female,25-34,Rejected,None
224,2024-09-01,1,Portugal,Female,35-44,Rejected,None
225,2024-11-01,6,Guinea,Male,25-34,Accepted,Refugee status
226,2022-07-01,2,Ukraine,Male,35-44,Withdrawn,None
227,2025-03-01,2,Algeria,Male,18-24,Accepted,Subsidiary protection
228,2023-09-01,3,Ukraine,Female,35-44,Rejected,None
229,2023-09-01,4,Spain,Female,45-54,Pending,None
230,2022-10-01,6,Tunisia,Male,35-44,Pending,None
231,2025-05-01,8,Senegal,Male,18-24,Accepted,Refugee status
232,2022-06-01,5,Guinea,Male,35-44,Withdrawn,None
233,2025-11-01,10,China,Female,45-54,Rejected,None
234,2024-05-01,1,Portugal,Female,18-24,Pending,None
235,2022-12-01,1,Senegal,Male,35-44,Withdrawn,None
236,2024-09-01,7,Bangladesh,Male,25-34,Rejected,None
237,2024-11-01,5,Guinea,Male,25-34,Rejected,None
238,2023-01-01,8,Italy,Male,25-34,Accepted,Refugee status
239,2025-07-01,5,Algeria,Male,25-34,Accepted,Refugee status
240,2022-01-01,1,Morocco,Female,25-34,Pending,None
241,2022-07-01,5,Côte d'Ivoire,Female,35-44,Accepted,Refugee status
242,2025-11-01,1,Senegal,Male,18-24,Pending,None
243,2025-01-01,2,Morocco,Male,25-34,Accepted,Refugee status
244,2023-11-01,5,Algeria,Male,35-44,Accepted,Refugee status
245,2023-04-01,5,Ukraine,Male,18-24,Accepted,Refugee status
246,2024-08-01,2,Italy,Female,35-44,Rejected,None
247,2024-10-01,6,Afghanistan,Female,35-44,Accepted,Refugee status
248,2022-04-01,9,India,Female,25-34,Accepted,Refugee status
249,2023-09-01,1,Syria,Female,55+,Pending,None
250,2024-06-01,1,Bangladesh,Male,25-34,Pending,None
251,2024-05-01,1,Turkey,Male,55+,Pending,None
252,2025-01-01,3,Portugal,Male,18-24,Pending,None
253,2025-08-01,1,Georgia,Female,45-54,Accepted,Refugee status
254,2022-03-01,3,Senegal,Male,25-34,Accepted,Refugee status
255,2024-02-01,1,Tunisia,Male,55+,Withdrawn,None
256,2024-02-01,1,Portugal,Female,25-34,Pending,None
257,2022-10-01,2,Morocco,Male,45-54,Pending,None
258,2022-07-01,9,Nigeria,Male,25-34,Rejected,None
259,2025-08-01,1,Guinea,Male,35-44,Pending,None
260,2022-08-01,1,Ukraine,Male,18-24,Rejected,None
261,2023-10-01,1,Côte d'Ivoire,Male,25-34,Rejected,None
262,2024-06-01,9,Portugal,Male,25-34,Accepted,Subsidiary protection
263,2023-11-01,2,Senegal,Male,35-44,Pending,None
264,2024-06-01,7,Algeria,Male,25-34,Pending,None
265,2022-02-01,1,Spain,Female,25-34,Withdrawn,None
266,2024-03-01,1,India,Female,55+,Rejected,None
267,2025-03-01,3,Morocco,Male,45-54,Rejected,None
268,2024-01-01,6,Spain,Female,45-54,Pending,None
269,2025-12-01,7,Côte d'Ivoire,Male,18-24,Accepted,Subsidiary protection
270,2023-11-01,1,Guinea,Female,45-54,Rejected,None
271,2023-03-01,10,Morocco,Male,25-34,Pending,None
272,2023-12-01,3,Côte d'Ivoire,Female,45-54,Withdrawn,None
273,2023-03-01,3,Côte d'Ivoire,Male,25-34,Withdrawn,None
274,2023-05-01,8,Spain,Male,35-44,Pending,None
275,2023-10-01,2,Senegal,Male,25-34,Pending,None
276,2023-01-01,6,India,Female,25-34,Accepted,Refugee status
277,2022-02-01,4,Georgia,Male,25-34,Accepted,Refugee status
278,2023-01-01,1,Côte d'Ivoire,Female,18-24,Accepted,Refugee status
279,2022-02-01,1,Georgia,Female,35-44,Rejected,None
280,2025-08-01,9,Nigeria,Female,18-24,Accepted,Temporary protection
281,2025-06-01,8,Italy,Male,25-34,Pending,None
282,2023-01-01,10,Morocco,Female,25-34,Pending,None
283,2025-08-01,5,Bangladesh,Female,18-24,Accepted,Temporary protection
284,2023-06-01,5,China,Female,18-24,Accepted,Subsidiary protection
285,2023-06-01,1,Georgia,Male,35-44,Rejected,None
286,2024-01-01,5,Syria,Female,25-34,Pending,None
287,2025-08-01,3,Algeria,Female,25-34,Rejected,None
288,2024-12-01,2,Turkey,Female,25-34,Pending,None
289,2024-07-01,5,China,Female,35-44,Rejected,None
290,2025-02-01,1,Bangladesh,Male,25-34,Pending,None
291,2025-07-01,3,Spain,Male,35-44,Accepted,Temporary protection
292,2024-11-01,6,Turkey,Male,35-44,Accepted,Refugee status
293,2023-11-01,7,Portugal,Male,18-24,Rejected,None
294,2023-03-01,3,Senegal,Male,45-54,Pending,None
295,2023-11-01,2,Syria,Female,25-34,Accepted,Subsidiary protection
296,2022-08-01,4,Côte d'Ivoire,Male,45-54,Accepted,Subsidiary protection
297,2024-06-01,1,Tunisia,Male,25-34,Rejected,None
298,2025-04-01,1,Georgia,Male,35-44,Pending,None
299,2022-02-01,7,China,Male,35-44,Pending,None
300,2025-06-01,1,Guinea,Male,25-34,Rejected,None
301,2024-07-01,2,Guinea,Female,45-54,Accepted,Refugee status
302,2025-08-01,2,Portugal,Male,35-44,Pending,None
303,2024-10-01,10,China,Female,35-44,Pending,None
304,2025-06-01,6,China,Female,45-54,Accepted,Subsidiary protection
305,2025-01-01,6,Tunisia,Male,25-34,Withdrawn,None
306,2023-06-01,5,Senegal,Male,35-44,Rejected,None
307,2024-02-01,1,Turkey,Female,25-34,Rejected,None
308,2022-08-01,2,Côte d'Ivoire,Male,45-54,Accepted,Refugee status
309,2025-05-01,1,Algeria,Male,25-34,Accepted,Temporary protection
310,2024-09-01,4,Tunisia,Female,45-54,Withdrawn,None
311,2024-05-01,1,Ukraine,Male,18-24,Pending,None
312,2024-08-01,8,Turkey,Female,25-34,Rejected,None
313,2024-10-01,1,Morocco,Male,35-44,Pending,None
314,2022-12-01,1,Guinea,Female,25-34,Accepted,Refugee status
315,2024-06-01,3,Morocco,Male,18-24,Withdrawn,None
316,2024-06-01,1,Morocco,Female,35-44,Rejected,None
317,2024-10-01,1,Bangladesh,Male,18-24,Rejected,None
318,2025-12-01,10,Bangladesh,Male,25-34,Rejected,None
319,2023-05-01,1,Bangladesh,Female,45-54,Accepted,Refugee status
320,2022-09-01,6,Nigeria,Male,25-34,Accepted,Refugee status
321,2025-12-01,6,Senegal,Female,25-34,Accepted,Refugee status
322,2023-07-01,1,Italy,Male,25-34,Pending,None
323,2023-02-01,1,Bangladesh,Male,18-24,Accepted,Refugee status
324,2023-07-01,4,Afghanistan,Male,18-24,Pending,None
325,2025-02-01,8,Senegal,Male,35-44,Rejected,None
326,2022-11-01,6,Nigeria,Male,18-24,Rejected,None
327,2022-01-01,1,India,Female,45-54,Pending,None
328,2025-02-01,1,Portugal,Male,25-34,Rejected,None
329,2024-01-01,4,Bangladesh,Male,45-54,Rejected,None
330,2024-10-01,3,Senegal,Male,18-24,Rejected,None
331,2023-01-01,2,Syria,Male,35-44,Pending,None
332,2022-11-01,5,Morocco,Female,45-54,Accepted,Refugee status
333,2023-11-01,9,India,Male,25-34,Pending,None
334,2025-06-01,8,Afghanistan,Male,55+,Rejected,None
335,2024-12-01,5,Morocco,Male,25-34,Rejected,None
336,2023-09-01,9,Algeria,Female,18-24,Pending,None
337,2022-08-01,2,Morocco,Female,55+,Pending,None
338,2024-03-01,1,Portugal,Male,25-34,Pending,None
339,2022-03-01,3,Nigeria,Male,18-24,Accepted,Refugee status
340,2024-09-01,5,Nigeria,Male,25-34,Pending,None
341,2023-09-01,7,Senegal,Male,55+,Rejected,None
342,2025-06-01,9,Bangladesh,Male,45-54,Accepted,Subsidiary protection
343,2025-11-01,3,India,Female,18-24,Accepted,Subsidiary protection
344,2022-11-01,2,Algeria,Male,25-34,Rejected,None
345,2022-06-01,1,Senegal,Male,25-34,Rejected,None
346,2024-05-01,4,Algeria,Female,35-44,Pending,None
347,2022-03-01,5,Senegal,Male,25-34,Rejected,None
348,2024-09-01,5,Guinea,Male,18-24,Rejected,None
349,2025-07-01,1,Ukraine,Female,35-44,Pending,None
350,2025-07-01,2,Morocco,Female,18-24,Pending,None
351,2025-01-01,1,Nigeria,Male,25-34,Rejected,None
352,2025-02-01,3,Afghanistan,Male,35-44,Pending,None
353,2023-01-01,1,China,Male,35-44,Pending,None
354,2025-08-01,8,Guinea,Male,25-34,Accepted,Refugee status
355,2025-01-01,7,Portugal,Male,35-44,Rejected,None
356,2022-04-01,6,Ukraine,Female,25-34,Rejected,None
357,2024-05-01,1,Portugal,Male,35-44,Rejected,None
358,2023-09-01,2,Portugal,Female,25-34,Pending,None
359,2022-08-01,1,Spain,Male,25-34,Rejected,None
360,2023-03-01,1,Spain,Male,25-34,Accepted,Refugee status
361,2025-09-01,2,Algeria,Male,25-34,Withdrawn,None
362,2023-12-01,1,Italy,Female,25-34,Accepted,Subsidiary protection
363,2022-08-01,9,Italy,Male,25-34,Accepted,Refugee status
364,2025-03-01,9,Ukraine,Female,45-54,Rejected,None
365,2022-12-01,9,Morocco,Male,25-34,Withdrawn,None
366,2023-12-01,1,Spain,Female,35-44,Pending,None
367,2022-07-01,3,Syria,Male,35-44,Pending,None
368,2022-02-01,1,Afghanistan,Female,25-34,Accepted,Refugee status
369,2025-12-01,4,Guinea,Female,25-34,Pending,None
370,2024-09-01,3,Georgia,Male,25-34,Pending,None
371,2024-05-01,2,Georgia,Male,18-24,Pending,None
372,2022-01-01,1,Turkey,Male,45-54,Accepted,Refugee status
373,2024-06-01,1,Tunisia,Male,25-34,Accepted,Refugee status
374,2022-05-01,1,Côte d'Ivoire,Male,25-34,Pending,None
375,2022-08-01,1,Turkey,Male,25-34,Accepted,Refugee status
376,2024-11-01,1,Turkey,Female,18-24,Accepted,Temporary protection
377,2024-01-01,8,Côte d'Ivoire,Male,18-24,Withdrawn,None
378,2025-04-01,1,Ukraine,Male,45-54,Pending,None
379,2023-06-01,1,China,Male,25-34,Rejected,None
380,2023-04-01,9,Portugal,Female,25-34,Withdrawn,None
381,2025-04-01,8,Nigeria,Male,18-24,Accepted,Subsidiary protection
382,2024-04-01,2,Côte d'Ivoire,Male,18-24,Rejected,None
383,2025-08-01,7,Italy,Female,35-44,Pending,None
384,2024-03-01,1,Algeria,Male,45-54,Accepted,Temporary protection
385,2022-09-01,5,Ukraine,Male,25-34,Pending,None
386,2022-03-01,8,Afghanistan,Female,25-34,Accepted,Subsidiary protection
387,2022-11-01,3,Senegal,Male,35-44,Withdrawn,None
388,2024-03-01,1,Côte d'Ivoire,Male,18-24,Pending,None
389,2024-08-01,4,Algeria,Male,25-34,Accepted,Refugee status
390,2022-01-01,6,Italy,Female,25-34,Rejected,None
391,2023-01-01,8,Tunisia,Female,35-44,Accepted,Subsidiary protection
392,2025-04-01,2,Nigeria,Female,55+,Accepted,Temporary protection
393,2023-07-01,1,Guinea,Female,25-34,Accepted,Temporary protection
394,2024-12-01,5,Tunisia,Female,25-34,Accepted,Subsidiary protection
395,2023-06-01,1,Guinea,Male,35-44,Pending,None
396,2023-02-01,1,Senegal,Male,18-24,Accepted,Refugee status
397,2024-10-01,1,Morocco,Male,18-24,Accepted,Subsidiary protection
398,2023-01-01,2,Bangladesh,Male,25-34,Pending,None
399,2024-08-01,2,China,Female,18-24,Accepted,Refugee status
400,2022-10-01,6,Afghanistan,Male,25-34,Accepted,Refugee status
401,2025-01-01,1,Syria,Male,25-34,Accepted,Refugee status
402,2025-10-01,2,Algeria,Female,45-54,Accepted,Refugee status
403,2025-08-01,5,Portugal,Female,18-24,Accepted,Refugee status
404,2025-05-01,4,Nigeria,Male,35-44,Rejected,None
405,2022-01-01,7,Turkey,Male,35-44,Accepted,Temporary protection
406,2025-05-01,8,Turkey,Male,55+,Accepted,Subsidiary protection
407,2024-06-01,1,Côte d'Ivoire,Female,25-34,Accepted,Subsidiary protection
408,2023-11-01,8,Ukraine,Male,35-44,Accepted,Subsidiary protection
409,2025-03-01,8,China,Male,25-34,Rejected,None
410,2025-03-01,2,Afghanistan,Male,18-24,Rejected,None
411,2025-09-01,7,Morocco,Female,25-34,Pending,None
412,2024-05-01,3,Italy,Male,35-44,Accepted,Refugee status
413,2024-10-01,7,Tunisia,Male,25-34,Pending,None
414,2023-03-01,6,China,Female,18-24,Rejected,None
415,2024-09-01,10,Portugal,Male,18-24,Withdrawn,None
416,2023-09-01,1,Portugal,Female,25-34,Accepted,Subsidiary protection
417,2024-07-01,6,Georgia,Female,25-34,Accepted,Subsidiary protection
418,2023-08-01,1,Nigeria,Female,35-44,Pending,None
419,2022-09-01,9,Spain,Male,35-44,Pending,None
420,2023-05-01,1,Afghanistan,Female,45-54,Accepted,Refugee status
421,2023-05-01,2,Afghanistan,Male,55+,Rejected,None
422,2022-12-01,7,Côte d'Ivoire,Male,18-24,Accepted,Refugee status
423,2022-06-01,3,Nigeria,Male,25-34,Withdrawn,None
424,2023-08-01,5,Syria,Female,25-34,Accepted,Subsidiary protection
425,2024-01-01,2,Syria,Male,45-54,Pending,None
426,2024-05-01,4,Algeria,Male,18-24,Accepted,Subsidiary protection
427,2024-06-01,7,Senegal,Male,25-34,Pending,None
428,2022-10-01,8,Côte d'Ivoire,Male,18-24,Pending,None
429,2022-07-01,3,Tunisia,Male,25-34,Pending,None
430,2022-07-01,6,Ukraine,Female,18-24,Accepted,Refugee status
431,2024-09-01,3,Georgia,Female,35-44,Pending,None
432,2024-10-01,9,Portugal,Male,25-34,Withdrawn,None
433,2024-01-01,6,Guinea,Female,55+,Rejected,None
434,2024-02-01,2,Morocco,Male,55+,Rejected,None
435,2024-07-01,3,Bangladesh,Female,35-44,Accepted,Subsidiary protection
436,2023-05-01,1,Turkey,Female,25-34,Pending,None
437,2024-12-01,9,Côte d'Ivoire,Female,18-24,Rejected,None
438,2025-08-01,1,Tunisia,Male,18-24,Pending,None
